Taxa,meanLPBL,LPBL_BLUP,meanUPBLog,UPBL_BLUP,meanRL,RL_BLUP,meanRD,RD_BLUP,family_ID
PR1314_2485,83.5416666675,0.564409348844885,4.00221729151595,0.138193285889311,274.916666675,1.2707265250023,9.249999999,1.07278097737942,Ajabsido
PR1314_2486,81.333333335,-1.11397902703869,3.89896508186811,0.0457220037653316,246.83333335,-22.9661409437787,7.3333333335,-0.246318430187574,Ajabsido
PR1314_2487,102.66666668,13.5149989709053,3.82757363740494,-0.0243481331158728,299.39999998,20.0861770246602,10.2,1.55770968270283,Ajabsido
PR1314_2488,62.38888889,-14.7490432379452,3.89058013626864,0.0736842239051912,211.555555566667,-52.4236510988589,12.3333333333333,3.57361472278655,Ajabsido
PR1314_2489,87.66666667,1.88667260874916,4.14313472639153,0.0971402637430134,315.3333333,27.4739978120719,9,0.392105787931509,Ajabsido
PR1314_2490,92.633333336,5.28550741098113,4.30191595408856,0.355503485744509,261.46666666,-14.0023568617047,10.4666666674,1.78947573899938,Ajabsido
PR1314_2491,92.625,7.69423768949567,3.84233085925095,0.016230655563226,284.083333325,9.30471488244584,9.99999999925,1.70397090222669,Ajabsido
PR1314_2492,89.233333342,2.49677605969024,3.98960453667369,0.105405627465622,249.73333332,-24.5464376517186,9.599999998,1.0362360557314,Ajabsido
PR1314_2493,125.73333334,32.4346273820924,3.88493416324361,0.0215859693922767,304.86666666,24.9987601291984,9.466666666,0.920353029060641,Ajabsido
PR1314_2494,77.5555555566667,-3.04321723757444,3.84609255373581,0.0356865426620194,247.777777766667,-22.1777878297176,9.222222221,1.05287336823713,Ajabsido
PR1314_2495,78.333333335,-3.05198739441355,3.63337487648908,-0.11803130337388,215.16666665,-47.6676761390545,8.6666666665,0.722347322934979,Ajabsido
PR1314_2496,63.083333335,-15.4940572357336,3.75762270202383,-0.0483853942112297,235.33333335,-33.4214959833679,8.75,0.651987695129767,Ajabsido
PR1314_2497,66.83333333,-10.8964804607038,3.71338399643793,-0.058127289867033,213.333333333333,-51.1718899404361,9,0.875234272070936,Ajabsido
PR1314_2498,96.199999994,8.21094127754615,3.86637680196396,0.00672530131371517,290.8,12.3578451043435,9.9333333332,1.32594362692776,Ajabsido
PR1314_2499,87.11111111,3.95554583757698,4.08382360671251,0.203742481517941,272.2222222,-1.60132826998759,10.3333333343333,1.94106885572957,Ajabsido
PR1314_2500,95.466666666,7.60945020509055,3.66771541427942,-0.152362022466749,292.79999998,14.1551315836473,9.0666666666,0.572703946093323,Ajabsido
PR1314_2501,109.875,18.5857895268378,4.16422370043057,0.241120487330196,341.41666665,55.1975423075309,10.16666666675,1.43362129710877,SC35
PR1314_2502,115.7083333425,23.1645783770729,3.59728812937301,-0.191342433332148,351.41666665,63.961893258859,8.00000000025,-0.389816262813023,SC35
PR1314_2503,94.566666668,6.87125661243951,3.93774069003812,0.0638732458670653,335.7,52.7069269682041,8.2999999998,-0.093623464042739,SC35
PR1314_2504,82.6000000025,-3.30342782563931,3.54266930928802,-0.227706259935729,304.916666675,23.398752170703,10.74999999825,1.95123064332211,SC35
PR1314_2505,81.33333333,-1.13501086979653,4.44851637594271,0.233241423840089,340,43.2460965482284,10,0.962580011930036,SC35
PR1314_2506,61.458333335,-16.7695769848661,3.85986023485762,0.0296022013953291,244.79166665,-25.1318807377845,8.75,0.651987695129768,SC35
PR1314_2507,57.5555555533333,-18.2891152617807,3.83404096076605,0.0337157633181031,259.444444466667,-12.1124962064389,8.33333333333333,0.376110974208784,SC35
PR1314_2508,71,-12.4584793576935,3.71475471448767,-0.114693120271625,261.80000002,-13.7028090881948,9.1999999994,0.688586973459384,SC35
PR1314_2509,71,-12.4086764983323,3.64508405431914,-0.149583485468739,248.541666675,-26.0102763174093,11.0416666675,2.1966933939661,SC35
PR1314_2510,104.333333333333,11.5305125840463,4.21344425012914,0.232112551285553,317.3888889,30.3713061408648,9.83333333433333,1.07057148009051,SC35
PR1314_2511,107.3333333575,19.239326719844,3.84440071944971,0.0178095612319033,353.166666675,69.8517727191448,8.79166666575,0.687053801282581,SC35
PR1314_2512,68,-7.49644976371138,3.71762886748089,-0.0924973294488289,236,-23.2524818170551,12,2.10352845992709,SC35
PR1314_2513,92.0416666575,4.58777791377796,3.86443642817469,0.0124403939373432,257.333333325,-18.4960419342493,11.9166666675,2.90639778855932,SC35
PR1314_2514,88.5555555533333,4.41617425474663,4.21915113998907,0.305956397942476,278.666666666667,4.06808334508854,9.55555555466667,1.35312600778588,SC35
PR1314_2515,78,-6.43402093691558,3.86018602544671,0.00919815324620559,262.79166665,-13.7121670472863,8.6666666665,0.171241447624643,SC35
PR1314_2516,72.033333336,-11.6109237472457,3.71558282618323,-0.114029971408259,254.26666666,-20.4725882519007,10.5333333334,1.84741725233477,SC35
PR1314_2517,96.5,8.45700581389795,4.37420493171555,0.413392238680058,320.26666666,38.8378661582284,8.3666666666,-0.0356819500120594,SC35
PR1314_2518,77.9999999925,-3.7854400585841,3.6466142778613,-0.133063494831903,291.958333325,16.2066412566167,8.66666666575,0.581855480509771,SC35
PR1314_2519,95.12500001,7.00799488871503,3.97689056410321,0.0982212948843183,314.916666675,31.9720123084223,9.99999999925,1.29335686871037,SC35
PR1314_2520,79.76666666,-5.26792694469287,3.58092135397809,-0.221866393367977,244.86666668,-28.9198347711279,8.9333333334,0.45682091837961,SC35
PR1314_2521,65.2222222233333,-12.0765044645799,3.60361655123106,-0.13572367800849,299.777777766667,21.5939534354225,7.55555555566667,-0.279419859271104,SC35
PR1314_2522,65.2499999975,-13.7933642401608,3.19977287934024,-0.473917634424507,248.083333325,-22.2469485423354,9.66666666675,1.42344204753385,SC35
PR1314_2523,132.166666643333,33.0629903008887,3.71218524305887,-0.0779451287298182,368.833333325,79.4175619866678,8.25,-0.152735770661331,SC35
PR1314_2524,82.1,-3.35409169476543,3.84010757303837,-0.0143110026014896,258,-17.1176534509932,9.2666666666,0.746528487837717,SC35
PR1314_2525,62.966666666,-19.0475406998788,3.69468893698084,-0.130761722632366,247.13333334,-26.8829100802053,9.9666666668,1.35491438411692,SC35
PR1314_2526,73.916666665,-6.9905922441332,3.99687153810177,0.134115503064143,270.75,-2.38108637868802,9.166666666,1.00264876381141,SC35
PR1314_2527,85.233333336,-0.784084364304214,3.5313144003383,-0.2615914631837,261.86666668,-13.6428995442765,9.066666666,0.572703945571849,SC35
PR1314_2528,63.25,-15.3632346986693,3.8742441484245,0.0405743639994219,275.583333325,1.85501657381697,8.58333333325,0.511723267362553,SC35
PR1314_2529,103.6666667,9.52039929766864,4.62333748961621,0.311154934410859,352.3333333,51.1321458843362,10,0.962580011930036,SC35
PR1314_2530,80.033333332,-5.04920291238018,3.78266329644108,-0.0603121724155243,304.43333332,24.6093480487974,10.066666666,1.44182665429382,SC35
PR1314_2531,68.066666668,-14.8644436639201,3.9448742576172,0.0695857810929018,284.9,7.05584993737738,8.5,0.0802010778754802,SC35
PR1314_2532,86.933333328,0.610281307240142,3.79386779077966,-0.0413899186995782,219.53333334,-51.685463742623,9.266666666,0.74652848731624,SC35
PR1314_2533,80.766666666,-4.44771183500332,4.27682376949245,0.335409754689238,278.86666668,1.6340356825749,9.2666666666,0.746528487837717,SC35
PR1314_2534,82.16666666,-3.29941069324901,3.68434745235418,-0.139043146276624,297.93333334,18.7681669506213,8.3,-0.0936234638689144,SC35
PR1314_2535,68.733333334,-14.3176335946214,3.82492037736235,-0.0264728542022851,261.66666666,-13.822628211977,10.4,1.73153422444723,SC35
